Cycle,GRF
0,-0.000
0,0.000
0,0.001
0,0.002
0,0.002
0,0.003
0,0.003
0,0.002
0,0.001
0,-0.001
0,-0.003
0,-0.005
0,-0.006
0,-0.007
0,-0.007
0,-0.005
0,-0.002
0,0.003
0,0.008
0,0.013
0,0.017
0,0.019
0,0.018
0,0.012
0,0.003
0,-0.009
0,-0.024
0,-0.038
0,-0.048
0,-0.052
0,-0.046
0,-0.030
0,-0.003
0,0.032
0,0.070
0,0.105
0,0.130
0,0.135
0,0.114
0,0.063
0,-0.016
0,-0.114
0,-0.218
0,-0.306
0,-0.354
0,-0.334
0,-0.223
0,-0.004
0,0.326
0,0.758
0,1.263
0,1.797
0,2.303
0,2.714
0,2.963
0,2.988
0,2.745
0,2.212
0,1.402
0,0.366
0,-0.797
0,-1.949
0,-2.916
0,-3.511
0,-3.556
0,-2.924
0,-1.570
0,0.432
0,2.865
0,5.375
0,7.489
0,8.676
0,8.429
0,6.375
0,2.390
0,-3.302
0,-10.057
0,-16.793
0,-22.051
0,-24.122
0,-21.250
0,-11.880
0,5.082
1,30.049
1,62.607
1,101.503
1,144.759
1,189.926
1,234.422
1,275.890
1,312.507
1,343.193
1,367.672
1,386.398
1,400.385
1,410.969
1,419.571
1,427.486
1,435.739
1,445.011
1,455.627
1,467.605
1,480.734
1,494.667
1,509.000
1,523.342
1,537.358
1,550.791
1,563.465
1,575.275
1,586.179
1,596.175
1,605.290
1,613.565
1,621.045
1,627.772
1,633.774
1,639.064
1,643.640
1,647.476
1,650.530
1,652.746
1,654.052
1,654.377
1,653.652
1,651.820
1,648.851
1,644.747
1,639.544
1,633.319
1,626.182
1,618.271
1,609.738
1,600.740
1,591.425
1,581.923
1,572.342
1,562.762
1,553.237
1,543.800
1,534.466
1,525.241
1,516.126
1,507.122
1,498.239
1,489.492
1,480.903
1,472.505
1,464.331
1,456.422
1,448.820
1,441.575
1,434.740
1,428.380
1,422.566
1,417.376
1,412.894
1,409.203
1,406.384
1,404.509
1,403.634
1,403.797
1,405.012
1,407.260
1,410.493
1,414.631
1,419.568
1,425.179
1,431.331
1,437.898
1,444.766
1,451.843
1,459.063
1,466.386
1,473.791
1,481.271
1,488.823
1,496.445
1,504.122
1,511.830
1,519.531
1,527.178
1,534.714
1,542.083
1,549.234
1,556.126
1,562.729
1,569.033
1,575.040
1,580.764
1,586.227
1,591.451
1,596.451
1,601.228
1,605.765
1,610.020
1,613.932
1,617.413
1,620.365
1,622.674
1,624.230
1,624.926
1,624.670
1,623.393
1,621.054
1,617.640
1,613.176
1,607.716
1,601.341
1,594.153
1,586.264
1,577.777
1,568.770
1,559.278
1,549.271
1,538.644
1,527.203
1,514.678
1,500.728
1,484.977
1,467.052
1,446.633
1,423.505
1,397.615
1,369.103
1,338.329
1,305.862
1,272.455
1,238.975
1,206.333
1,175.392
1,146.888
1,121.363
1,99.127
1,80.249
1,64.583
1,51.813
1,41.515
1,33.219
0,26.475
0,20.891
0,16.166
0,12.100
0,8.583
0,5.577
0,3.091
0,1.154
0,-0.212
0,-1.011
0,-1.278
0,-1.088
0,-0.547
0,0.215
0,1.059
0,1.852
0,2.481
0,2.868
0,2.975
0,2.809
0,2.418
0,1.881
0,1.295
0,0.755
0,0.346
0,0.122
0,0.106
0,0.283
0,0.609
0,1.017
0,1.431
0,1.777
0,1.999
0,2.062
0,1.960
0,1.715
0,1.364
0,0.959
0,0.553
0,0.190
0,-0.096
0,-0.288
0,-0.385
0,-0.397
0,-0.345
0,-0.253
0,-0.145
0,-0.041
0,0.045
0,0.103
0,0.133
0,0.138
0,0.123
0,0.097
0,0.067
0,0.037
0,0.011
0,-0.011
0,-0.029
0,-0.045
0,-0.060
0,-0.075
0,-0.087
0,-0.094
0,-0.091
0,-0.075
0,-0.041
0,0.010
0,0.076
0,0.148
0,0.214
0,0.260
0,0.269
0,0.230
0,0.133
0,-0.019
0,-0.213
0,-0.421
0,-0.607
0,-0.725
0,-0.729
0,-0.580
0,-0.253
0,0.249
0,0.894
0,1.619
0,2.333
0,2.924
0,3.281
0,3.307
0,2.943
0,2.185
0,1.092
0,-0.207
0,-1.523
0,-2.630
0,-3.292
0,-3.302
0,-2.532
0,-0.967
0,1.259
0,3.853
0,6.374
0,8.277
0,8.990
0,8.016
0,5.054
0,0.116
0,-6.381
0,-13.558
0,-20.097
0,-24.331
0,-24.415
0,-18.562
0,-5.313
0,16.208
2,46.089
2,83.538
2,126.927
2,173.975
2,222.053
2,268.555
2,311.247
2,348.553
2,379.695
2,404.705
2,424.293
2,439.640
2,452.150
2,463.210
2,473.998
2,485.366
2,497.789
2,511.390
2,526.009
2,541.293
2,556.796
2,572.058
2,586.663
2,600.275
2,612.646
2,623.620
2,633.123
2,641.153
2,647.765
2,653.064
2,657.183
2,660.274
2,662.490
2,663.964
2,664.799
2,665.054
2,664.740
2,663.823
2,662.230
2,659.866
2,656.632
2,652.444
2,647.249
2,641.038
2,633.852
2,625.785
2,616.970
2,607.570
2,597.761
2,587.710
2,577.564
2,567.434
2,557.389
2,547.462
2,537.649
2,527.932
2,518.283
2,508.682
2,499.127
2,489.635
2,480.246
2,471.017
2,462.018
2,453.330
2,445.035
2,437.213
2,429.945
2,423.301
2,417.346
2,412.129
2,407.690
2,404.051
2,401.221
2,399.197
2,397.962
2,397.491
2,397.749
2,398.690
2,400.262
2,402.408
2,405.066
2,408.175
2,411.677
2,415.519
2,419.656
2,424.051
2,428.671
2,433.485
2,438.465
2,443.583
2,448.812
2,454.124
2,459.501
2,464.926
2,470.393
2,475.900
2,481.453
2,487.064
2,492.743
2,498.502
2,504.351
2,510.289
2,516.313
2,522.407
2,528.548
2,534.707
2,540.842
