Time	Fx1	Fy1	Fz1	COPx1	COPy1	COPz1	Ty1	Fx2	Fy2	Fz2	COPx2	COPy2	COPz2	Ty2
1	-147.4	552.06	43.87	2388.17	0	1153.22	30573.2	17.55	119.63	-17.47	1622.63	0	1278.26	27209.5
2	-118.26	460.66	12.74	2332.66	0	1175.15	-13151	14.19	100.56	25.02	1554.61	0	1297.79	-1413.84
3	-93	523.83	28.92	2354.41	0	1159.08	29044.5	4.5	74.92	25.86	1548.07	0	1258.18	-22707.7
4	-131.99	498.05	16.78	2377.13	0	1155.39	14535.1	-0	-0	-0	2149	0	1465.7	-0
5	-82.78	557.71	49.74	2319.71	0	1167.66	-11218.5	-0	-0	-0	2149	0	1465.7	-0
6	-120.16	655.82	17.09	2369.38	0	1153.88	40157.1	18.92	39.06	17.93	1625.02	0	1273.2	-5282.04
7	-179.52	772.25	7.55	2338.42	0	1153.18	-6310.2	-0	-0	-0	2149	0	1465.7	-0
8	-156.56	818.18	60.5	2336.17	0	1149.86	-6463.17	-0	-0	-0	2149	0	1465.7	-0
9	-200.27	757.14	79.12	2349.91	0	1157.38	32363.2	-0	-0	-0	2149	0	1465.7	-0
10	-176.85	755.92	67.52	2324.54	0	1153.89	-5839.61	-0	-0	-0	2149	0	1465.7	-0
11	-182.95	746.31	83.69	2334.67	0	1153.65	21089.3	-0	-0	-0	2149	0	1465.7	-0
12	-200.27	796.81	81.25	2326.04	0	1151.83	3101.14	11.52	-26.7	10.6	2719.1	0	1577.03	10454.3
13	-159	805.51	61.72	2331.85	0	1151.26	-21558.5	-0	-0	-0	2149	0	1465.7	-0
14	-182.8	832.67	99.03	2315.31	0	1151.6	29156.1	6.71	-22.89	-7.48	2636.6	0	1671.93	919.39
15	-156.02	833.13	84.84	2308.46	0	1151.85	1803.22	2.37	-24.11	15.11	2918.41	0	1602.78	18511
16	-141.75	856.17	78.81	2315.84	0	1150.83	203.84	-0	-0	-0	2149	0	1465.7	-0
17	-166.63	834.2	59.36	2293.01	0	1153.74	18982	7.25	-24.41	-1.75	2814.55	0	1625.4	4692.51
18	-125.35	844.42	51.65	2297.88	0	1147.79	-15744	-0	-0	-0	2149	0	1465.7	-0
19	-150.91	830.99	60.27	2290.27	0	1151.7	10117.1	-0.31	-26.09	12.82	2442.16	0	1550.75	10972.5
20	-134.05	818.94	54.86	2277.14	0	1154.63	8881.35	-0	-0	-0	2149	0	1465.7	-0
21	-115.05	823.67	62.1	2280.18	0	1155.5	-8587.2	-4.65	-22.13	2.29	2653.53	0	1693.36	12970
22	-139.54	802.15	69.2	2272.22	0	1158.05	19546.3	6.48	-18.31	14.57	2750.35	0	1571.76	13854.9
23	-108.49	799.71	61.87	2259.14	0	1157.2	232.26	-0.99	-18.92	8.09	2772.37	0	1553.1	16071.6
24	-112.23	777.74	57.53	2270.81	0	1157.46	3738.1	-0	-0	-0	2149	0	1465.7	-0
25	-120.85	775.3	65.08	2247.09	0	1156.38	18196.4	8.24	-18.92	9.54	2655.37	0	1678.96	6577.15
26	-91.48	755.92	50.66	2241.29	0	1154.42	-3530.87	-3.28	-20.9	2.9	2489.31	0	1646.4	13035
27	-110.63	731.35	46.01	2248.69	0	1154.74	10964.6	-0	-0	-0	2149	0	1465.7	-0
28	-94.99	712.59	47.76	2230.64	0	1155.26	10265.5	-0	-0	-0	2149	0	1465.7	-0
29	-88.35	689.09	39.6	2218.91	0	1154.35	1227.78	-0	-0	-0	2149	0	1465.7	-0
30	-95.52	670.93	48.29	2240.27	0	1159.27	12717.5	2.37	-22.89	5.72	2559.45	0	1579.95	9267.81
31	-70.42	652.16	38.07	2214.91	0	1153.86	6728.33	-0	-0	-0	2149	0	1465.7	-0
32	-81.18	630.8	46.92	2210.01	0	1159.95	4680.68	5.04	-19.84	6.64	2697.5	0	1636.37	9795.61
33	-69.27	597.99	42.8	2217.31	0	1160.65	13098.7	2.14	-23.35	0.53	2763.97	0	1656.07	8184.7
34	-59.89	602.11	41.43	2200.17	0	1154.4	1978.48	2.37	-19.38	6.87	2765.28	0	1620.71	13305.1
35	-65.54	558.01	41.2	2205.84	0	1160.22	7070.71	1.14	-22.13	6.71	2964.09	0	1633.46	9220.6
36	-53.71	553.89	43.56	2183.52	0	1157.33	9937.25	5.42	-22.58	-0.23	2358.92	0	1698.72	9565.66
37	-49.13	523.83	42.72	2197.2	0	1161.66	4226.73	-0	-0	-0	2149	0	1465.7	-0
38	-51.57	506.13	39.29	2176.02	0	1155.05	11707.1	4.5	-19.99	10.22	3016.61	0	1655.23	15748.2
39	-37.92	495.61	45.47	2163.62	0	1158.72	5397.55	0.61	-23.5	3.59	2599.26	0	1581.41	9619.18
40	-36.93	473.33	39.98	2188.9	0	1159.85	4727.65	-0	-0	-0	2149	0	1465.7	-0
41	-38.76	466	42.04	2159.34	0	1155.24	9013.5	5.87	-18.01	6.87	2620.38	0	1643.66	7967.55
42	-23.96	438.23	38.91	2153.75	0	1159.91	4703.75	-6.26	-20.29	2.52	3010.01	0	1706.84	11868.4
43	-35.63	444.79	46.08	2169.65	0	1156.44	7438.02	12.36	-23.96	2.75	2377.57	0	1605.07	6150.56
44	-21.13	408.48	36.93	2148.04	0	1161.75	5439.97	-0	-0	-0	2149	0	1465.7	-0
45	-21.36	415.04	41.35	2149.4	0	1153.94	4218.11	4.58	-24.26	2.75	2826.04	0	1658.26	11032.1
46	-30.29	384.37	44.94	2140.24	0	1168.76	9769.96	-0	-0	-0	2149	0	1465.7	-0
47	-9.61	385.74	38.83	2148.94	0	1157.88	4662.86	-5.19	-21.21	10.45	2754.83	0	1604.19	15990.5
48	-29.98	371.4	37.77	2118.45	0	1155.62	7644.36	-0	-0	-0	2149	0	1465.7	-0
49	-11.67	360.72	42.04	2136.16	0	1164.49	5885.1	-4.04	-24.26	2.52	2821.31	0	1593.94	4226.97
50	-15.72	356.45	36.54	2116.49	0	1158.83	6767.52	6.26	-18.01	9.16	2586.16	0	1652.34	14791.9
51	-21.59	337.37	31.89	2122.94	0	1158.23	6519.17	-0	-0	-0	2149	0	1465.7	-0
52	-4.12	345.61	38.53	2127.94	0	1158.44	3631.58	0.84	-22.58	3.2	2610.6	0	1628.87	8214.23
53	-18.08	320.74	33.8	2111.71	0	1171.18	8503.98	-0	-0	-0	2149	0	1465.7	-0
54	-8.01	329.44	28.99	2130.53	0	1150.49	4298.59	2.67	-21.06	6.71	2725.36	0	1566.24	6386.25
55	-14.42	320.74	30.06	2094	0	1158.87	4675.71	-0	-0	-0	2149	0	1465.7	-0
56	-8.93	305.94	26.78	2124.37	0	1168.3	6630.3	0.99	-21.06	2.59	2906.26	0	1706.85	9610.83
57	-9.69	318.76	23.04	2105.22	0	1150.29	4477.42	13.5	-17.7	7.86	2465.14	0	1622.3	5962.8
58	-16.4	286.56	24.87	2086.48	0	1175.76	6718.61	-5.95	-17.85	6.87	2949.73	0	1683.7	18731.3
59	-3.81	312.96	23.27	2138.92	0	1156.32	4864.22	3.81	-23.5	2.98	2914.1	0	1627.26	5265.12
60	-19	286.56	15.95	2039.49	0	1168.64	6462.98	-0	-0	-0	2149	0	1465.7	-0
61	-0.15	295.72	20.52	2121.64	0	1164.95	2533.25	-3.05	-23.8	10.22	2820.15	0	1599.69	22993
62	-16.25	293.88	16.63	2098.01	0	1165.1	9656.86	-0	-0	-0	2149	0	1465.7	-0
63	-3.59	293.88	12.66	2065.85	0	1164.9	3285.46	-3.89	-28.08	0.84	2824.99	0	1644.39	4185.2
64	-3.59	310.36	15.72	2108.61	0	1152.36	3536.72	-0	-0	-0	2149	0	1465.7	-0
65	-13.28	296.63	13.89	2089.07	0	1169.84	7566.97	2.67	-22.74	6.33	2627.1	0	1545.13	6966.23
66	2.82	312.04	8.77	2080.43	0	1154.42	2323.01	-0	-0	-0	2149	0	1465.7	-0
67	-15.49	314.33	12.97	2077.78	0	1161.14	4918.06	14.57	-23.5	6.64	2096.84	0	1662.26	6121.3
68	-0.15	315.86	13.5	2098.85	0	1161.64	3240.88	-2.06	-18.62	4.96	2863.77	0	1639.13	8352.81
69	-9.38	326.54	10.07	2062.03	0	1158.7	4119.41	-0	-0	-0	2149	0	1465.7	-0
