Time	Fx1	Fy1	Fz1	COPx1	COPy1	COPz1	Ty1	Fx2	Fy2	Fz2	COPx2	COPy2	COPz2	Ty2
1	-47.45	325.47	-4.12	2222.72	0	1179.83	12093.5	103.07	253.3	10.38	1726.43	0	1269.25	16679.5
2	-29.22	325.62	23.65	2260.59	0	1188.16	522.73	85.83	224	-1.91	1665.65	0	1265.62	19656.8
3	-51.57	347.29	25.25	2226.74	0	1181.52	12875	89.95	172.88	15.11	1625.38	0	1253.7	15302.2
4	-37.16	365.6	-8.54	2220.43	0	1172.1	7194.62	68.28	152.13	17.4	1624.84	0	1247.53	10440.2
5	-55.54	366.06	15.11	2216.46	0	1189.2	8724.86	61.87	122.38	2.14	1590.75	0	1222.99	20102
6	-66.83	430.15	38.76	2224.6	0	1177.41	8750.5	-0	-0	-0	2149	0	1465.7	-0
7	-69.96	448.61	8.01	2214.28	0	1180.57	7257.91	31.13	76.14	24.03	1423.47	0	1253.51	-803.12
8	-87.43	521.24	18.62	2214.87	0	1166.39	10707	-0	-0	-0	2149	0	1465.7	-0
9	-91.93	524.29	57.45	2216.1	0	1176.41	6110.53	-0	-0	-0	2149	0	1465.7	-0
10	-94.53	554.5	55.08	2210.23	0	1164.88	6488.19	-0	-0	-0	2149	0	1465.7	-0
11	-98.19	547.03	46.84	2224.38	0	1168.53	16487.7	-0	-0	-0	2149	0	1465.7	-0
12	-95.37	544.28	62.71	2199.1	0	1173.19	5306.27	-0	-0	-0	2149	0	1465.7	-0
13	-103.84	574.04	69.27	2205.56	0	1166.4	5238.48	-0	-0	-0	2149	0	1465.7	-0
14	-100.63	574.34	54.86	2222.78	0	1171.04	15457	-0	-0	-0	2149	0	1465.7	-0
15	-96.28	609.28	58.59	2195.69	0	1166.96	9783.42	-0	-0	-0	2149	0	1465.7	-0
16	-104.22	603.94	69.58	2201.04	0	1171.95	9743.07	-0	-0	-0	2149	0	1465.7	-0
17	-98.11	634.16	60.42	2200.67	0	1166.79	13571.5	-0	-0	-0	2149	0	1465.7	-0
18	-98.42	628.05	42.27	2187.76	0	1168.2	12434.2	-0	-0	-0	2149	0	1465.7	-0
19	-93.92	646.97	54.17	2192.48	0	1165.09	11238.8	-0	-0	-0	2149	0	1465.7	-0
20	-94.53	642.55	55.92	2178.83	0	1170.53	11566	-0	-0	-0	2149	0	1465.7	-0
21	-91.63	653.53	38.38	2179.89	0	1167.86	11601.8	-0	-0	-0	2149	0	1465.7	-0
22	-95.06	664.67	47.38	2181.29	0	1168.6	13064	-0	-0	-0	2149	0	1465.7	-0
23	-88.96	652.92	47.99	2166.98	0	1174.74	7726.04	-0.23	-26.25	10.45	2984.01	0	1659.12	24776.3
24	-87.59	680.24	44.56	2170.53	0	1166.43	11272.7	-0	-0	-0	2149	0	1465.7	-0
25	-96.44	664.22	38.38	2159.66	0	1170.65	14889.7	11.44	-17.09	9.08	2967.53	0	1691.8	17382.8
26	-76.98	670.78	43.87	2162.29	0	1171.04	6288.35	-0	-0	-0	2149	0	1465.7	-0
27	-86.82	674.13	39.29	2160.97	0	1168.59	13837.6	-0	-0	-0	2149	0	1465.7	-0
28	-82.55	664.37	30.36	2146.54	0	1169.96	11692.5	3.97	-25.02	8.77	2924.67	0	1643.99	21245.3
29	-69.2	666.35	34.33	2153.88	0	1170.64	8079.59	-0	-0	-0	2149	0	1465.7	-0
30	-84.76	654.3	35.4	2147.62	0	1174.58	14066.5	13.73	-23.19	8.16	2787.49	0	1654.08	15445.7
31	-62.56	651.09	24.19	2141.86	0	1170.63	5776.97	-0	-0	-0	2149	0	1465.7	-0
32	-72.71	643.01	29.53	2138.81	0	1173.34	12400.4	-0	-0	-0	2149	0	1465.7	-0
33	-71.87	636.14	34.64	2135.77	0	1172.33	11702.2	10.76	-18.92	8.16	2943.7	0	1694.16	18507.6
34	-55.92	624.85	28.69	2131.08	0	1172.3	7412.34	-0	-0	-0	2149	0	1465.7	-0
35	-66.68	619.81	29.98	2134.83	0	1170.79	13713.5	-0	-0	-0	2149	0	1465.7	-0
36	-54.93	603.64	28.46	2122.05	0	1170.26	7444.39	-0	-0	-0	2149	0	1465.7	-0
37	-55.24	595.25	33.19	2108.31	0	1173.01	11342.1	-0	-0	-0	2149	0	1465.7	-0
38	-57.53	593.72	30.29	2132.05	0	1167.64	14355.8	11.22	-21.82	9.23	3020.31	0	1655.15	17685
39	-44.4	566.25	26.32	2107.32	0	1173.16	7925.97	-0	-0	-0	2149	0	1465.7	-0
40	-50.2	563.66	34.56	2106.57	0	1171.82	10861.2	-0	-0	-0	2149	0	1465.7	-0
41	-53.56	555.73	33.57	2116.97	0	1170.77	14764.9	-0	-0	-0	2149	0	1465.7	-0
42	-37.31	542.76	30.14	2101.27	0	1170.36	10114.8	-0	-0	-0	2149	0	1465.7	-0
43	-43.49	539.25	34.48	2102.35	0	1167.95	11874	-0	-0	-0	2149	0	1465.7	-0
44	-40.59	524.9	34.94	2097.61	0	1170.16	11906.5	0.46	-20.14	9.38	2981.99	0	1682.77	19204.2
45	-35.1	514.83	31.05	2086.15	0	1170.51	11051.5	-0	-0	-0	2149	0	1465.7	-0
46	-40.82	510.25	36.16	2095.65	0	1171.96	12922.8	-0	-0	-0	2149	0	1465.7	-0
47	-26.7	500.34	33.26	2086.99	0	1169.51	9239.03	-0	-0	-0	2149	0	1465.7	-0
48	-33.42	491.33	35.25	2086.24	0	1171.65	10820.7	-0	-0	-0	2149	0	1465.7	-0
49	-37.16	490.57	37.38	2083.2	0	1168.51	13344.7	-0	-0	-0	2149	0	1465.7	-0
50	-21.51	475.92	34.33	2073.2	0	1170.42	9250.29	-0	-0	-0	2149	0	1465.7	-0
51	-29.45	485.38	37.69	2088.08	0	1165.08	12101.4	-0	-0	-0	2149	0	1465.7	-0
52	-28.92	461.73	31.66	2058.64	0	1167.15	12044.9	-0	-0	-0	2149	0	1465.7	-0
53	-17.85	470.28	35.86	2064.52	0	1165.73	7171.02	-0	-0	-0	2149	0	1465.7	-0
54	-30.52	453.34	36.62	2075.99	0	1173.65	15147.3	-0	-0	-0	2149	0	1465.7	-0
55	-17.17	454.71	31.59	2054.34	0	1168.05	7929.9	0.92	-22.13	8.54	3041.48	0	1690.84	24732.4
56	-19.91	444.64	31.43	2055.19	0	1170.67	6515.58	-0	-0	-0	2149	0	1465.7	-0
57	-28.08	447.85	34.87	2057.33	0	1168.85	13545.4	-0	-0	-0	2149	0	1465.7	-0
58	-12.82	444.18	29.98	2048.29	0	1168.33	8418.21	-0	-0	-0	2149	0	1465.7	-0
59	-18.08	442.5	29.14	2055.01	0	1165.03	7730.16	-0	-0	-0	2149	0	1465.7	-0
60	-19.53	441.44	27.01	2037.55	0	1164.45	10301.1	4.43	-23.35	5.57	2971.65	0	1662.64	18098.8
61	-10.91	433.65	23.96	2036.24	0	1167.32	6866.48	-0	-0	-0	2149	0	1465.7	-0
