Time	Fx1	Fy1	Fz1	COPx1	COPy1	COPz1	Ty1	Fx2	Fy2	Fz2	COPx2	COPy2	COPz2	Ty2
1	-16.94	365.3	16.02	2303.28	0	1178.38	5074.9	-0	-0	-0	2149	0	1465.7	-0
2	-10.45	366.36	15.18	2310.46	0	1175.18	7241.35	-0	-0	-0	2149	0	1465.7	-0
3	-20.22	365.6	18.84	2292.91	0	1182.82	9953.63	4.81	-18.31	9.23	2831.73	0	1688.64	19163.1
4	-6.48	365.3	11.75	2312.06	0	1177.58	5358.97	-0	-0	-0	2149	0	1465.7	-0
5	-16.63	364.69	15.49	2301.37	0	1180.78	8414.82	4.96	-20.45	6.33	3030.44	0	1696.59	15613.3
6	-9.92	376.13	12.97	2281.63	0	1171.54	5162.48	-0	-0	-0	2149	0	1465.7	-0
7	-9.08	370.18	15.34	2301.23	0	1180.53	8840.23	5.04	-20.45	9.99	2934.86	0	1637.94	20013.3
8	-14.65	378.11	17.55	2302.82	0	1175.78	7206.53	-0	-0	-0	2149	0	1465.7	-0
9	-9.31	379.79	12.97	2276.52	0	1170.33	6770.83	-0	-0	-0	2149	0	1465.7	-0
10	-14.19	370.79	18.39	2294.35	0	1184.55	6636.6	-0	-0	-0	2149	0	1465.7	-0
11	-9	380.25	14.5	2291.98	0	1172.27	8813.37	-0	-0	-0	2149	0	1465.7	-0
12	-15.72	380.86	21.44	2264.73	0	1180.16	6697.81	-0	-0	-0	2149	0	1465.7	-0
13	-7.4	383.91	13.66	2292.59	0	1170.34	6191.78	-0	-0	-0	2149	0	1465.7	-0
14	-16.02	381.47	15.34	2264.05	0	1175.3	9030.28	-0	-0	-0	2149	0	1465.7	-0
15	-8.7	395.36	19.91	2285.18	0	1171.64	4361.62	-0	-0	-0	2149	0	1465.7	-0
16	-14.95	396.27	18.69	2270.54	0	1169.81	9930.02	-0	-0	-0	2149	0	1465.7	-0
17	-13.73	401.76	21.97	2260.26	0	1174.7	7341.28	-0	-0	-0	2149	0	1465.7	-0
18	-8.39	399.48	19.3	2291.92	0	1173.4	5937.75	-0	-0	-0	2149	0	1465.7	-0
19	-17.47	404.66	23.04	2250.46	0	1174.6	8988.04	-0	-0	-0	2149	0	1465.7	-0
20	-6.56	415.19	23.04	2265.15	0	1172.97	5054.94	-0	-0	-0	2149	0	1465.7	-0
21	-16.48	412.6	20.75	2259.05	0	1172.97	9950.01	-0	-0	-0	2149	0	1465.7	-0
22	-7.63	422.36	21.9	2254.51	0	1170.71	6979.56	-0	-0	-0	2149	0	1465.7	-0
23	-13.5	431.06	24.57	2254.69	0	1171.55	7120.57	-0	-0	-0	2149	0	1465.7	-0
24	-14.95	439.3	23.8	2237.17	0	1171.04	9309.82	-0	-0	-0	2149	0	1465.7	-0
25	-0.15	447.24	24.41	2258.89	0	1172.25	3726.32	1.98	-19.99	6.56	3042.93	0	1686.6	16880.2
26	-16.17	458.53	27.62	2237.76	0	1171.38	8080.8	-0	-0	-0	2149	0	1465.7	-0
27	-3.05	472.41	24.03	2231.59	0	1164.21	6739.54	3.66	-21.67	7.25	2840.83	0	1677.27	17450.9
28	-4.35	473.02	28.38	2234.15	0	1174.44	7110.5	-0	-0	-0	2149	0	1465.7	-0
29	-6.48	495.3	30.21	2238.08	0	1165.84	8087.81	-0	-0	-0	2149	0	1465.7	-0
30	-2.59	493.77	28.15	2214.31	0	1170.97	5177.83	4.2	-24.41	6.87	2656.42	0	1659.17	14388.4
31	-2.44	508.58	32.88	2230.39	0	1171.44	7460.41	-0	-0	-0	2149	0	1465.7	-0
32	-2.29	520.32	30.67	2213.16	0	1166.55	9260.29	-0	-19.84	6.26	3033.62	0	1702.05	16841
33	2.75	534.21	34.1	2203.55	0	1167.32	5178.25	-0	-0	-0	2149	0	1465.7	-0
34	2.21	547.33	32.5	2208.97	0	1163.85	7970.69	9.38	-18.31	7.48	3047.98	0	1660.91	18598.8
35	6.79	553.44	32.58	2197.63	0	1166.69	6845.66	-0	-0	-0	2149	0	1465.7	-0
36	9.54	563.66	33.87	2195.87	0	1166.32	6952.93	-0	-0	-0	2149	0	1465.7	-0
37	6.33	578.77	39.37	2197.23	0	1168.08	9310.22	5.34	-24.57	5.49	2955.06	0	1672.74	16582.8
38	18.77	586.24	35.86	2185.87	0	1165.9	5524.12	-0	-0	-0	2149	0	1465.7	-0
39	12.59	596.47	39.6	2179.27	0	1166.52	7705.42	4.96	-24.11	5.49	2810.47	0	1672.05	12299.2
40	14.34	600.43	45.17	2175.61	0	1169.52	10881	-0	-0	-0	2149	0	1465.7	-0
41	28.15	622.71	43.33	2172.79	0	1163.62	6322.4	-0	-0	-0	2149	0	1465.7	-0
42	14.88	623.63	41.96	2160.93	0	1167.67	9532.05	-0	-0	-0	2149	0	1465.7	-0
43	30.98	631.87	39.67	2160.82	0	1166.06	8194.6	-0	-0	-0	2149	0	1465.7	-0
44	27.39	648.8	45.09	2155.75	0	1165.6	7571.15	-0	-0	-0	2149	0	1465.7	-0
45	29.91	644.38	40.74	2144.23	0	1167.52	7873.15	-0	-0	-0	2149	0	1465.7	-0
46	45.17	669.4	46.31	2157.42	0	1164.13	7980.03	-5.04	-23.35	9.16	3009.1	0	1639.09	22416.5
47	29.45	656.28	44.56	2135.79	0	1169.68	8178.74	-0	-0	-0	2149	0	1465.7	-0
48	54.09	688.32	47.76	2143.28	0	1159.81	4341.74	-3.89	-25.94	5.26	2926.54	0	1679.19	15674.2
49	38.76	662.54	42.34	2123.76	0	1169.71	9338.24	-0	-0	-0	2149	0	1465.7	-0
